,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
20,md,smoothed_wearing_mask,2020-09-09,2020-12-09,91,5.891556800000004,0.7607583,957.9995,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.088757400000006,1.5912341,506.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-09,2020-12-09,91,13.198460299999994,0.6645696,2593.9989,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-09,2020-12-09,91,14.368330700000001,0.9687591,1311.0195,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-09,2020-12-09,91,21.316934399999994,1.1175455,1342.9986,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.124368700000005,1.456393,605.2058,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-09,2020-12-09,91,24.351246700000004,2.1819454,386.9325,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-09,2020-12-09,91,13.57208,0.7316927,2191.003,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-09,2020-12-09,91,37.0067161,3.1281556,238.2309,state,fb-survey
29,ne,smoothed_wearing_mask,2020-09-09,2020-12-09,91,18.454920200000004,1.7907147,469.3071,state,fb-survey
30,nh,smoothed_wearing_mask,2020-09-09,2020-12-09,91,13.674321500000005,1.5714803,478.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-09-09,2020-12-09,91,9.276021099999994,0.7377976,1545.9995,state,fb-survey
32,nm,smoothed_wearing_mask,2020-09-09,2020-12-09,91,9.876304599999997,1.3476837,490.0693,state,fb-survey
33,nv,smoothed_wearing_mask,2020-09-09,2020-12-09,91,12.4347389,1.3773248,573.9787,state,fb-survey
34,ny,smoothed_wearing_mask,2020-09-09,2020-12-09,91,8.211012999999994,0.4801603,3268.9997,state,fb-survey
35,oh,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.833978799999997,0.7076869,2660.998,state,fb-survey
36,ok,smoothed_wearing_mask,2020-09-09,2020-12-09,91,20.832071799999994,1.3032233,971.0555,state,fb-survey
37,or,smoothed_wearing_mask,2020-09-09,2020-12-09,91,11.105005500000004,1.0347392,922.0072,state,fb-survey
38,pa,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.043534500000007,0.6420846,3100.0013,state,fb-survey
39,ri,smoothed_wearing_mask,2020-09-09,2020-12-09,91,8.052555100000006,1.668396,265.996,state,fb-survey
40,sc,smoothed_wearing_mask,2020-09-09,2020-12-09,91,16.8334179,1.0007069,1398.0005,state,fb-survey
41,sd,smoothed_wearing_mask,2020-09-09,2020-12-09,91,37.6553161,3.0527321,251.9117,state,fb-survey
42,tn,smoothed_wearing_mask,2020-09-09,2020-12-09,91,17.279860799999994,0.9874378,1465.9933,state,fb-survey
43,tx,smoothed_wearing_mask,2020-09-09,2020-12-09,91,11.447247599999997,0.4740399,4511.006,state,fb-survey
44,ut,smoothed_wearing_mask,2020-09-09,2020-12-09,91,21.1617947,1.5326791,710.21,state,fb-survey
45,va,smoothed_wearing_mask,2020-09-09,2020-12-09,91,11.0215563,0.727204,1854.4503,state,fb-survey
