,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
11,hi,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.031219229139635,0.00037101289386386,5865,state,safegraph
12,ia,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.067443759449648,0.0003850235645346,18389,state,safegraph
13,id,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.053892225004528,0.00047699974171768,6717,state,safegraph
14,il,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.047616252190732,0.00013816835902758,67721,state,safegraph
15,in,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.054239227577717,0.00022156433108495,33654,state,safegraph
16,ks,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.058420775703277,0.00034877783567176,16410,state,safegraph
17,ky,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.051896914790163,0.00026537022246839,22943,state,safegraph
18,la,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.060249465043848,0.00028385977423014,24112,state,safegraph
19,ma,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.051275458767045,0.00021415229313998,34688,state,safegraph
20,md,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.044594156711246,0.0002082757789175,27346,state,safegraph
21,me,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.053845558222168,0.00048063073495785,7533,state,safegraph
22,mi,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.05213965503652,0.00016846416830171,56723,state,safegraph
23,mn,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.051181917948134,0.00023694298591162,28731,state,safegraph
24,mo,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.060553419982436,0.00025896180460422,31508,state,safegraph
25,ms,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.060796457793038,0.00036344683349387,15092,state,safegraph
26,mt,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.062448020641283,0.00062131494641387,5873,state,safegraph
27,nc,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.047629837249899,0.0001677670060318,42845,state,safegraph
28,nd,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.061733747580081,0.00074428178896917,4004,state,safegraph
29,ne,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.06816484359133,0.00049192536420119,11417,state,safegraph
30,nh,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.055164264859186,0.0005078860962433,6447,state,safegraph
31,nj,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.048261654362595,0.00017412049053324,44041,state,safegraph
32,nm,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.049753771154176,0.00037684742031848,10094,state,safegraph
33,nv,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.046068892255391,0.00030776548986966,12742,state,safegraph
34,ny,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.053702520305745,0.00012578694826819,106237,state,safegraph
35,oh,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.05573358348944,0.00016347558305651,64498,state,safegraph
36,ok,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.054355991683385,0.00026792054735988,20715,state,safegraph
37,or,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.044980955469568,0.0002348424135228,18380,state,safegraph
38,pa,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.052361906312436,0.00014737016400984,68049,state,safegraph
39,pr,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.069657372493857,0.00037432076688728,17073,state,safegraph
40,ri,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.052734394750853,0.00050611640522604,5676,state,safegraph
41,sc,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.053977018303906,0.00025338322304586,21344,state,safegraph
42,sd,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.065707002651377,0.00073040989624961,4575,state,safegraph
43,tn,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.054380721989334,0.00022201909027694,28801,state,safegraph
44,tx,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.050947561097301,0.000108741444577,110348,state,safegraph
45,ut,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.057390522272994,0.00036556743402204,11812,state,safegraph
46,va,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.048970803225621,0.00019578798275767,37113,state,safegraph
47,vt,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.059335824066835,0.00074386825302142,3647,state,safegraph
48,wa,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.04677690986466,0.00019795656069459,33381,state,safegraph
49,wi,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.056936545612028,0.00025227756822452,31323,state,safegraph
50,wv,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.057106565839647,0.00041577315088619,11124,state,safegraph
51,wy,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.05803694056001,0.00080160077075493,2870,state,safegraph
0,ak,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.055741927281038,0.000671972446527,3623,state,safegraph
1,al,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.062557948007107,0.00026092153875626,24037,state,safegraph
2,ar,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.055542187540377,0.00031640979618965,14980,state,safegraph
3,az,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.04422402341886,0.00017721686090584,29106,state,safegraph
4,ca,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.050002280618462,9.2865835679406e-05,161822,state,safegraph
5,co,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.054540422960487,0.00024805960739432,24636,state,safegraph
6,ct,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.052671221278463,0.0002959193642024,18049,state,safegraph
7,dc,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.048337703326507,0.00066648145529326,3133,state,safegraph
8,de,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.046709054366641,0.00055483434726456,3987,state,safegraph
9,fl,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.048012652672265,0.00012310469167705,79568,state,safegraph
10,ga,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.050851270665269,0.00019747030596578,38634,state,safegraph
11,hi,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.030388286350684,0.00034951814670015,5864,state,safegraph
12,ia,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.067492022068383,0.00038498177508913,18389,state,safegraph
13,id,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.053051537774369,0.00047716899463007,6716,state,safegraph
14,il,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.04702454577426,0.00013759360061252,67720,state,safegraph
15,in,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.0540717947663,0.00022205492990499,33654,state,safegraph
16,ks,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.058648817636407,0.0003486040289233,16411,state,safegraph
17,ky,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.052283452847732,0.00026499787123026,22943,state,safegraph
18,la,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.060849577010173,0.00028418918690029,24114,state,safegraph
19,ma,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.051895150990503,0.00021615625840141,34694,state,safegraph
20,md,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.045151586159572,0.00020973870802807,27346,state,safegraph
21,me,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.054486843181919,0.00048420388429291,7535,state,safegraph
22,mi,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.052580451139826,0.00016957456805551,56717,state,safegraph
23,mn,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.051518473348243,0.00023762246177773,28731,state,safegraph
24,mo,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.060894970862046,0.00025933111950195,31506,state,safegraph
25,ms,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.061113547332994,0.00036413598255411,15095,state,safegraph
26,mt,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.062953096863381,0.00062698811699111,5873,state,safegraph
27,nc,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.047169713870884,0.00016833232594275,42842,state,safegraph
28,nd,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.06113130324802,0.00074768888161177,4004,state,safegraph
29,ne,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.068254890845648,0.00049246380486213,11417,state,safegraph
30,nh,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.055273371582062,0.00051370058841702,6448,state,safegraph
31,nj,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.048554376112276,0.00017576388409656,44040,state,safegraph
32,nm,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.049679148718525,0.00038215032247873,10093,state,safegraph
33,nv,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.046420793010838,0.00031253280042552,12742,state,safegraph
34,ny,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.053425824704356,0.0001264514736222,106236,state,safegraph
35,oh,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.055341278113488,0.0001639372709342,64501,state,safegraph
36,ok,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.054102966389088,0.00026852218152993,20713,state,safegraph
37,or,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.044705038478687,0.00023393871122481,18380,state,safegraph
38,pa,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.051985641673185,0.0001472611782893,68048,state,safegraph
39,pr,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.069153014162077,0.00037367577907346,17104,state,safegraph
40,ri,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.052525155588991,0.00050465735266906,5675,state,safegraph
41,sc,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.053654188021542,0.00025412675373139,21345,state,safegraph
42,sd,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.065191425101029,0.00073211595064022,4574,state,safegraph
43,tn,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.054100371179911,0.00022290944631142,28802,state,safegraph
44,tx,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.050596614695533,0.00010883277065437,110349,state,safegraph
45,ut,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.05722662719958,0.00036528901646243,11813,state,safegraph
46,va,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.048673713052203,0.00019544508299265,37114,state,safegraph
47,vt,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.058901963938707,0.00074562294691328,3647,state,safegraph
48,wa,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.046663505583664,0.00019697092021808,33380,state,safegraph
49,wi,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.056921979790342,0.00025190693806747,31323,state,safegraph
50,wv,full_time_work_prop_7dav,2020-10-04,2020-11-30,57,0.057117558966726,0.00041544753319757,11124,state,safegraph
